image_id,ocr_text,product_name,runtime_seconds,ocr_pass,detection_count,mean_confidence,error,config_hash
img_2934,vate TikTok @hanoinews theanh28 HÀ NỘl are NEWS CHÍNH THÚC; NHA MÁY ĐỔ HỘP HẠ LONG TaM DÙNG HOAT ĐÔNG TÙ 12/1,Đồ Hộp Hạ Long,3.1257282390000114,primary,8,0.7118906175563238,,7af6934d545f
img_2935,,,12.533276092999984,primary,0,0.0,,7af6934d545f
img_2936,Op News 11/01/2026 N C E 1 9 6 7 5 / 0 Đo HỌP [ HẠ LONG TAM DUNG SAN XUAT. hòng,,7.879980472,primary,12,0.6107849915790714,,7af6934d545f
img_2937,,,11.51321499300002,primary,0,0.0,,7af6934d545f
img_2938,Op News 11/01/2026 c E 1 9 6 7 N 9 HALONG' CANFOCO Phòng,,4.0592887779999955,primary,9,0.7443956260930804,,7af6934d545f
img_2939,Op Ncws 1 9 6 7 5 ! N ĐO HOP HA (Long ng TAM DÙNG SAN XUAT chòng,HOA SEN HOME,2.631481123999947,primary,10,0.6380257715354815,,7af6934d545f
img_2940,VÀ DI SẢN TRONG KINH D.OANH,,3.9383855739999944,primary,1,0.5905289898631784,,7af6934d545f
img_2941,,,18.528118011000004,primary,0,0.0,,7af6934d545f
img_2942,VÀ DI SẢN TRONG KINH D.OANH,,9.904154334000054,primary,1,0.4836567626580759,,7af6934d545f
img_2943,VÀ DI SẢN TRONG KINH D.OANH,,9.959373027999959,primary,1,0.4836567626580759,,7af6934d545f
img_2944,,,18.454006109000034,primary,0,0.0,,7af6934d545f
img_2945,44 C@T ĐEN PHONG 8//2026 TRONG SẢN PHẨM DÓNG HỘP CỦA CỒNG TY ĐỔ HỘP HẠ LONG,Đồ Hộp Hạ Long,2.791680264999968,primary,6,0.538289321069291,,7af6934d545f
img_2946,atê cỘTĐEN HAI E PHGNG 1509 8/1/2026 PHẢT HIỆN VIRUS DỊCH TẢ LỢN CHÂU PHI TRONG SẢN PHẨM ĐÓNG HỘP CỦA CÔNG TY ĐỔ HỘP HẠ LONG,ĐỒ HỘP CÔNG TY CP ĐỒ HỘP HẠ LONG,4.441338443999939,primary,9,0.7145312996782005,,7af6934d545f
