ImageURL,group_id,image_id,ocr_text,product_name
http://minio-api.younetmedia.com/thumbnails/7592607846349491472/7592607846349491472_dynamic_cover.jpg,7592607846349491472,img_6361,,
http://minio-api.younetmedia.com/thumbnails/7592607846349491472/7592607846349491472_dynamic_cover.jpg,7592607846349491472,img_6366,Nestle VTVcab TIÊU ĐIỂM PRODUCT RECALL NESTLÉ THU HỒI SỮA BỌT TRẺ EM TẠI 25 QUỐC GIA DO LO NGẠI NHIỄM ĐỘC TỐ PLEASE RETURN THESE PRODUCTS IMMEDIATELY,Nestlé sữa bột trẻ em
http://minio-api.younetmedia.com/thumbnails/7592607846349491472/7592607846349491472_music_cover.jpg,7592607846349491472,img_6360,,
http://minio-api.younetmedia.com/thumbnails/7592607846349491472/7592607846349491472_music_cover.jpg,7592607846349491472,img_6363,VTVcab Tiêu điểm,
http://minio-api.younetmedia.com/thumbnails/7592607846349491472/7592607846349491472_origin_cover.jpg,7592607846349491472,img_6359,,
http://minio-api.younetmedia.com/thumbnails/7592607846349491472/7592607846349491472_origin_cover.jpg,7592607846349491472,img_6364,VTVcab TIÊU ĐIỂM NESTLÉ THU HỒI SỮA BỌT TRẺ EM TẠI 25 QUỐC GIA DO LO NGẠI NHIỄM ĐỘC TỐ,Nestlé sữa bột trẻ em
http://minio-api.younetmedia.com/thumbnails/7592819593278786834/7592819593278786834_origin_cover.jpg,7592819593278786834,img_6291,CÁC MÃ SỮA NAN BỊ THU HỒI,sữa Nan
http://minio-api.younetmedia.com/thumbnails/7592819593278786834/7592819593278786834_origin_cover.jpg,7592819593278786834,img_6297,các MÃ SỮA NAN BỊ THU HỒI,sữa Nan
http://minio-api.younetmedia.com/thumbnails/7592896538284723463/7592896538284723463_cover.jpg,7592896538284723463,img_0126,"ẢNH: TỔNG HỢP 60 NGÀY ĐĂNG: 08/01/2026 NGON TÌM ĐẾN, HỎNG XÓA LUÔN: TIKTOKER LÊ ANH NUÔI ĐÃ XÓA TẤT CẢ CLIP QUẢNG CÁO CHO CÔNG TY ĐỒ HỘP HẠ LONG",
http://minio-api.younetmedia.com/thumbnails/7592896538284723463/7592896538284723463_cover.jpg,7592896538284723463,img_6194,,
